IOF ID;First Name;Last Name;Country;WRS Position;WRS points;WRS events;Avg point;Region Pos
37306;Valtteri;Kinnunen;FIN;477;5722;5;1144.4;
12650;Benjamin;Lepoutre;FRA;478;5720;5;1144.0;
14728;Yaroslav;Pazhukh;UKR;479;5719;5;1143.8;
16307;Luis;Silva;POR;480;5718;5;1143.6;
22719;Simon;Lundin;SWE;481;5717;5;1143.4;
42481;Miron;Rulka;POL;482;5716;5;1143.2;
24441;Matiss;Sliksjanis;LAT;483;5714;5;1142.8;
34777;Sindre R;Holt;NOR;484;5713;5;1142.6;
32775;Erik;Zeilon;SWE;485;5712;5;1142.4;
21738;Herman Ryen;Martinsen;NOR;486;5711;5;1142.2;
9499;Jan;Flasar;CZE;487;5707;5;1141.4;
40722;Jonas;Gronli;NOR;488;5706;5;1141.2;
28529;Boyan;Ivandjikov;BUL;488;5706;5;1141.2;
9438;Ozgur;Fettah;TUR;490;5705;5;1141.0;
19132;Konsta;Vanhanen;FIN;491;5704;5;1140.8;
6976;David;Andersson;SWE;492;5703;5;1140.6;
19833;Niklas;Alden;SWE;493;5701;5;1140.2;
37308;Olli;Koivumaki;FIN;494;5700;5;1140.0;
29912;David;Bunn;GBR;495;5698;5;1139.6;
15450;Atis;Reskis;LAT;496;5697;5;1139.4;
12131;Matthias;Kretzschmar;GER;497;5695;5;1139.0;
14192;Erik;Nilsson Simkovics;AUT;498;5694;5;1138.8;
8958;Matt;Doyle;AUS;498;5694;5;1138.8;
9532;Ivan;Fomiciov;MDA;500;5692;5;1138.4;
26684;Aslak;Heimdal;NOR;501;5689;5;1137.8;
40719;Lars;Sandstad;NOR;502;5684;5;1136.8;
34067;Csongor;Horvath;HUN;502;5684;5;1136.8;
24054;Oli;Johnson;GBR;504;5678;5;1135.6;
34064;Ambrus;Demeter;HUN;504;5678;5;1135.6;
15409;Alvis;Reinsons;LAT;506;5677;5;1135.4;
40188;Gian Andrin;Coolen;NED;507;5672;5;1134.4;
14116;Halvor;Eid Nielsen;NOR;507;5672;5;1134.4;
